date,price
a, 999.8097231193215
a, 999.3977444373446
a, 999.0029064117394
a, 999.0591994790883
a, 999.3351082212416
a, 998.8961133453239
a, 999.3473179234771
a, 999.5613597858726
a, 999.4762964050145
a, 999.9717167079259
a, 1000.4647255088386
a, 1000.06141865065
a, 1000.4513170336007
a, 1000.3844903350771
a, 1000.6054852470097
a, 1000.6394866266975
a, 1000.7641456068407
a, 1000.8960691293759
a, 1000.817786009175
a, 1001.183575431751
a, 1000.8617159781851
a, 1001.1483330741128
a, 1000.8181625104053
a, 1001.307185022
a, 1000.9778316476036
a, 1001.3790550046026
a, 1001.6206668433849
a, 1001.992296562182
a, 1001.5821691387077
a, 1001.5437470414879
a, 1001.5120601537843
a, 1001.8425883930234
a, 1001.3514841950579
a, 1001.2392321722773
a, 1001.5038841105261
a, 1001.7965209328202
a, 1001.8675654423732
a, 1001.7973208607522
a, 1002.1382806522985
a, 1002.2966050404711
a, 1002.445682495196
a, 1002.4535781425976
a, 1002.7744958704772
a, 1002.655711449198
a, 1003.1283978976728
a, 1003.1691282459146
a, 1003.3889552921192
a, 1003.7330271465207
a, 1003.6842793454346
a, 1003.5260692151384
a, 1003.1556533272707
a, 1002.6934775711617
a, 1002.4358781719405
a, 1002.8195686923098
a, 1003.0690668365957
a, 1003.3467384215369
a, 1003.274063656289
a, 1002.9704819801602
a, 1002.8717436530102
a, 1002.965621670664
a, 1002.6081757123927
a, 1002.4821207321935
a, 1002.6747223390455
a, 1002.7679094964191
a, 1002.5371343023727
a, 1002.6692655143157
a, 1002.8085126023522
a, 1002.6761356190138
a, 1002.1943735350134
a, 1002.6915186630753
a, 1003.0666358552616
a, 1003.4159492654361
a, 1003.8068793084415
a, 1003.413052455635
a, 1003.0219426754845
a, 1003.3326995260385
a, 1003.5228015058505
a, 1003.6461467358812
a, 1003.7358723302002
a, 1003.8381462291626
a, 1004.2336212422788
a, 1003.8462260779876
a, 1003.6414452478008
a, 1003.3739268810845
a, 1003.1183393239769
a, 1003.0591894698024
a, 1003.3194784917467
a, 1003.3450363464782
